AoA,CL,CD
-5.0,-0.3726,0.0819
-4.0,-0.3558,0.0686
-3.5,-0.3359,0.06139
-3.0,-0.3123,0.05529
-2.5,-0.2854,0.04875
-2.0,-0.2712,0.04139
-1.5,-0.1057,0.03308
-1.0,-0.041,0.03261
-0.5,0.0259,0.03321
0.0,0.0833,0.03421
0.5,0.134,0.03545
1.0,0.1802,0.03695
1.5,0.2233,0.03868
2.0,0.2636,0.04067
2.5,0.3015,0.04292
3.0,0.3373,0.04546
3.5,0.371,0.0483
4.0,0.4028,0.05146
4.5,0.4328,0.05495
5.0,0.4609,0.05882
5.5,0.4871,0.06305
6.0,0.5117,0.06765
6.5,0.5344,0.07265
7.0,0.5552,0.07805
7.5,0.5745,0.08391
8.0,0.5925,0.09019
8.5,0.6091,0.0969
9.0,0.6248,0.10394
9.5,0.6396,0.11136
10.0,0.6542,0.11902
10.5,0.6685,0.1269
11.0,0.6832,0.13506
11.5,0.7153,0.14617
12.0,0.7635,0.16027
12.5,0.8006,0.1732
13.0,0.8282,0.18471
13.5,0.8448,0.19144
14.0,0.87,0.20429
14.5,0.8784,0.20783
15.0,0.896,0.21685
