AoA,CL,CD
-5.0,0.0175,0.0889
-4.5,0.015,0.08647
-4.0,0.0111,0.08417
-3.5,-0.0304,0.08323
-3.0,-0.077,0.08357
-2.0,-0.0173,0.0761
-1.5,-0.0276,0.07416
-1.0,-0.0395,0.07209
-0.5,-0.0539,0.06979
0.0,-0.0718,0.0671
0.5,-0.0948,0.06383
1.0,-0.1241,0.05971
1.5,-0.1438,0.05527
2.0,-0.0858,0.05488
2.5,-0.0255,0.05698
3.0,0.0192,0.05936
3.5,0.0571,0.06189
4.0,0.0916,0.06456
4.5,0.1241,0.06737
5.0,0.1553,0.07033
5.5,0.1858,0.07342
6.0,0.2156,0.07665
6.5,0.2446,0.08003
7.0,0.2725,0.08362
7.5,0.2988,0.08749
8.0,0.3231,0.09172
8.5,0.3452,0.09632
9.0,0.3659,0.1012
9.5,0.3861,0.10623
10.0,0.4062,0.11134
10.5,0.4262,0.11653
11.0,0.4459,0.1218
11.5,0.4654,0.12716
12.0,0.4844,0.13265
12.5,0.503,0.13826
13.0,0.5213,0.14398
13.5,0.5395,0.14979
14.0,0.5575,0.15568
14.5,0.5753,0.16159
15.0,0.5935,0.1674
