AoA,CL,CD
-5.0,-0.3123,0.06199
-4.5,-0.4758,0.0569
-2.5,-0.1098,0.04514
-2.0,-0.1317,0.04418
-1.5,-0.1521,0.04329
-1.0,-0.166,0.04276
-0.5,-0.1684,0.04272
0.0,-0.1618,0.04321
0.5,-0.1489,0.04409
1.0,-0.1328,0.04527
1.5,-0.1139,0.04668
2.0,-0.0934,0.0483
2.5,-0.0723,0.05019
3.0,-0.0498,0.05226
3.5,-0.0272,0.05452
4.0,-0.0043,0.05699
4.5,0.0195,0.05965
5.0,0.043,0.06252
5.5,0.0663,0.06557
6.0,0.0899,0.0688
6.5,0.1128,0.07226
7.0,0.1359,0.07586
7.5,0.1586,0.07964
8.0,0.1806,0.08362
8.5,0.2028,0.08774
9.0,0.225,0.092
9.5,0.2464,0.09653
10.0,0.2782,0.10236
10.5,0.3276,0.11101
11.0,0.3723,0.11933
11.5,0.3993,0.12436
12.0,0.4283,0.13072
12.5,0.4563,0.13677
13.0,0.4831,0.14344
13.5,0.5113,0.15147
14.0,0.5329,0.15762
14.5,0.5524,0.16411
15.0,0.5772,0.17385
