AoA,CL,CD
-5.0,0.0027,0.05444
-4.5,-0.101,0.05953
-4.0,-0.1948,0.06254
-3.0,-0.3567,0.06278
-2.5,-0.3267,0.05625
-2.0,-0.2091,0.04826
-1.5,-0.1474,0.04416
-1.0,-0.0915,0.0425
-0.5,-0.0443,0.04012
0.0,0.0051,0.03913
0.5,0.0544,0.03795
1.0,0.1016,0.03772
1.5,0.1719,0.0372
2.0,0.23,0.04026
2.5,0.321,0.0453
3.0,0.3747,0.04831
3.5,0.4222,0.05245
4.0,0.5093,0.05746
4.5,0.5031,0.05998
5.0,0.5255,0.0642
5.5,0.5859,0.06958
6.0,0.5913,0.07413
6.5,0.6071,0.08099
7.0,0.6409,0.08981
8.0,0.5746,0.09532
8.5,0.6595,0.11372
9.0,0.6693,0.11212
9.5,0.6709,0.11643
10.0,0.7161,0.12508
10.5,0.7131,0.12898
11.0,0.7856,0.14719
11.5,0.7585,0.14137
12.0,0.825,0.16428
12.5,0.7901,0.15538
13.0,0.8297,0.17159
14.0,0.8434,0.18109
14.5,0.9174,0.21259
15.0,0.8664,0.19408
