AoA,CL,CD
-5.0,-0.0156,0.06521
-4.5,-0.0061,0.062
-4.0,-0.0594,0.06199
-3.5,-0.1305,0.06517
-3.0,-0.1694,0.06325
-2.5,-0.2336,0.0657
-2.0,-0.2367,0.06253
-1.5,-0.115,0.06018
-1.0,0.0944,0.05762
-0.5,0.1922,0.05405
0.0,0.3016,0.05201
0.5,0.3809,0.05194
1.0,0.4423,0.05226
2.0,0.5579,0.05318
2.5,0.6074,0.05476
3.5,0.6623,0.06056
4.0,0.687,0.06552
4.5,0.7081,0.071
5.0,0.7277,0.07678
5.5,0.7469,0.08275
6.0,0.7655,0.0889
6.5,0.7827,0.09543
7.0,0.797,0.10257
7.5,0.8094,0.11032
8.0,0.8214,0.11839
8.5,0.8333,0.12675
9.0,0.8446,0.13542
9.5,0.8559,0.14436
10.0,0.8674,0.15348
10.5,0.8793,0.16277
11.0,0.8914,0.17232
11.5,0.9021,0.17327
12.0,1.0028,0.213
12.5,1.0682,0.24325
13.0,1.044,0.23192
13.5,1.0186,0.2109
14.0,1.1027,0.26949
14.5,1.0609,0.23633
15.0,1.1438,0.29891
