AoA,CL,CD
-5.0,-0.3842,0.07998
-4.5,-0.3786,0.07483
-4.0,-0.3772,0.0696
-3.5,-0.3578,0.06292
-3.0,-0.1952,0.0377
-2.5,-0.1483,0.03494
-2.0,-0.0927,0.03091
-1.5,-0.0424,0.02861
-1.0,-0.0014,0.0227
-0.5,0.0443,0.02386
0.0,0.1493,0.02632
0.5,0.236,0.02836
1.0,0.3241,0.03017
1.5,0.4001,0.0317
2.0,0.4698,0.03298
2.5,0.5343,0.03418
3.0,0.5977,0.03541
3.5,0.6983,0.03467
4.0,0.7507,0.03543
4.5,0.7991,0.03645
5.0,0.8639,0.03652
5.5,0.9523,0.03425
6.0,0.9836,0.03653
6.5,1.029,0.03805
7.0,1.0939,0.03798
7.5,1.1479,0.03871
8.0,1.1711,0.04185
8.5,1.2071,0.04475
9.0,1.256,0.04602
9.5,1.301,0.04778
10.0,1.3297,0.04985
10.5,1.1125,0.07857
11.0,0.998,0.10649
11.5,1.0378,0.10764
12.0,0.9842,0.12644
12.5,0.9603,0.14103
13.0,0.9485,0.15368
13.5,0.9417,0.16454
14.0,0.9214,0.17846
14.5,0.9305,0.18514
15.0,1.0086,0.2183
