AoA,CL,CD
-5.0,-0.3718,0.07042
-4.5,-0.3444,0.06026
-4.0,-0.3122,0.05132
-3.5,-0.2591,0.04317
-3.0,-0.2065,0.0383
-2.5,-0.1594,0.03387
-2.0,-0.106,0.03006
-1.5,-0.0625,0.02268
-1.0,-0.017,0.02322
-0.5,0.0248,0.02399
0.0,0.0645,0.02499
0.5,0.1023,0.02623
1.0,0.1383,0.02774
1.5,0.1728,0.02954
2.0,0.205,0.03166
2.5,0.2352,0.03413
3.0,0.275,0.03729
3.5,0.3866,0.04239
4.0,0.4637,0.0465
4.5,0.5667,0.05047
5.0,0.6114,0.05366
5.5,0.659,0.05708
6.0,0.7058,0.06082
6.5,0.7488,0.06485
7.0,0.79,0.06919
7.5,0.8359,0.07342
8.0,0.8119,0.08234
8.5,0.8351,0.08798
9.0,0.8343,0.09683
9.5,0.8282,0.10694
10.0,0.8321,0.11455
10.5,0.8623,0.12971
11.5,0.7836,0.14617
12.0,0.7903,0.15195
12.5,0.8504,0.17375
13.0,0.8208,0.16714
13.5,0.8592,0.18536
14.0,0.9156,0.2094
14.5,0.8646,0.19317
15.0,0.8894,0.20411
