AoA,CL,CD
-5.0,-0.2301,0.07508
-4.0,-0.3569,0.07428
-3.5,-0.3574,0.06804
-3.0,-0.3227,0.0617
-2.5,-0.2539,0.05519
-2.0,-0.199,0.04947
-1.5,-0.1354,0.04665
-1.0,-0.0777,0.04362
-0.5,-0.0233,0.04124
0.0,0.0293,0.04005
0.5,0.078,0.03801
1.0,0.1115,0.03716
1.5,0.1462,0.03926
2.0,0.1771,0.0416
2.5,0.2064,0.04419
3.0,0.2345,0.04704
3.5,0.2616,0.05017
4.0,0.2879,0.05356
4.5,0.3129,0.05724
5.0,0.3374,0.06112
5.5,0.3614,0.06523
6.0,0.3847,0.06958
6.5,0.4074,0.07414
7.0,0.4296,0.07889
7.5,0.4512,0.0839
8.0,0.4726,0.08909
8.5,0.4935,0.09456
9.0,0.514,0.10018
9.5,0.5342,0.10599
10.0,0.5835,0.11446
10.5,0.6311,0.12482
11.0,0.7053,0.14711
11.5,0.7067,0.14368
12.0,0.7292,0.14944
12.5,0.7544,0.16036
13.0,0.802,0.17665
13.5,0.7847,0.17126
14.0,0.8186,0.18655
14.5,0.8674,0.20986
15.0,0.8388,0.19495
