AoA,CL,CD
-5.0,-0.038,0.12154
-4.5,-0.044,0.12032
-4.0,0.0117,0.12238
-3.5,0.0479,0.12063
-2.5,-0.0108,0.11243
-2.0,-0.0233,0.11022
-1.5,-0.0193,0.10831
0.0,0.0908,0.10694
0.5,0.1254,0.10178
1.0,0.2784,0.1008
1.5,0.3769,0.10468
2.0,0.3273,0.09853
2.5,0.4329,0.09918
3.0,0.6275,0.10079
3.5,0.5904,0.10078
4.0,0.6534,0.10322
4.5,0.734,0.10822
5.0,0.8358,0.11982
5.5,0.7599,0.11339
6.0,0.8348,0.1179
6.5,0.9368,0.12921
7.0,0.8415,0.12529
7.5,0.9287,0.12871
8.0,1.005,0.14127
8.5,0.9129,0.13804
9.0,1.0102,0.14233
9.5,1.0654,0.13754
10.0,1.0293,0.14485
10.5,1.0301,0.1518
11.0,1.1754,0.14607
11.5,1.0953,0.15618
12.0,1.1534,0.15707
12.5,1.1647,0.16312
13.0,1.153,0.1693
13.5,1.2421,0.16568
14.0,1.1983,0.1773
14.5,1.1996,0.18436
15.0,1.2934,0.17836
