AoA,CL,CD
-5.0,-0.3428,0.08881
-4.5,-0.3326,0.07988
-4.0,-0.3221,0.07225
-3.5,-0.2812,0.06252
-3.0,-0.2864,0.058
-2.5,-0.3049,0.05479
-2.0,0.0063,0.03858
-1.5,0.0716,0.03407
-1.0,0.1335,0.03027
-0.5,0.185,0.02745
0.0,0.2299,0.02511
0.5,0.2971,0.02604
1.0,0.3451,0.02771
1.5,0.3836,0.02964
2.0,0.4183,0.03188
2.5,0.4501,0.03447
3.0,0.4798,0.03741
3.5,0.5074,0.04075
4.0,0.5909,0.04539
4.5,0.673,0.04977
5.0,0.7445,0.05388
5.5,0.8104,0.05786
6.0,0.8597,0.06199
6.5,0.9406,0.06563
7.0,0.9586,0.07078
7.5,1.055,0.07174
8.0,1.2208,0.04704
8.5,1.2696,0.05607
9.0,1.2817,0.06449
9.5,1.2962,0.07333
10.0,1.2749,0.08303
11.0,1.1417,0.11096
11.5,1.1182,0.12633
12.0,1.0818,0.15
13.0,0.9888,0.1867
13.5,0.9994,0.19603
14.0,1.0318,0.21464
14.5,1.0234,0.21354
15.0,1.0351,0.22444
