AoA,CL,CD
-5.0,-0.0289,0.09477
-4.5,-0.0334,0.09253
-4.0,-0.1155,0.09453
-3.5,-0.19,0.09555
-3.0,-0.259,0.09556
-2.5,-0.3296,0.09503
-2.0,-0.3948,0.09347
-1.5,-0.4146,0.08952
-1.0,-0.3715,0.08412
-0.5,-0.2714,0.07798
0.0,-0.1695,0.07309
0.5,-0.0761,0.06966
1.0,-0.0037,0.06759
1.5,0.059,0.06657
2.0,0.123,0.06583
4.0,0.3063,0.07247
4.5,0.3379,0.07596
5.0,0.3682,0.07965
5.5,0.3975,0.08355
6.0,0.4258,0.08766
6.5,0.453,0.092
7.0,0.4794,0.09655
7.5,0.5049,0.10133
8.0,0.5295,0.10632
8.5,0.5534,0.11153
9.0,0.5764,0.11693
9.5,0.5988,0.12254
10.0,0.6205,0.12835
10.5,0.6416,0.13435
11.0,0.6622,0.14054
11.5,0.688,0.14751
12.0,0.7414,0.16106
12.5,0.7762,0.17171
13.0,0.7973,0.17614
13.5,0.822,0.18328
14.0,0.8498,0.19343
14.5,0.8714,0.20009
15.0,0.9052,0.21541
