AoA,CL,CD
-5.0,-0.4103,0.06203
-4.5,-0.3873,0.05498
-4.0,-0.3457,0.04689
-3.5,-0.2997,0.0395
-3.0,-0.2642,0.03392
-2.0,-0.1093,0.02547
-1.5,-0.0715,0.02556
-1.0,-0.0324,0.02584
-0.5,0.0068,0.02629
0.0,0.0456,0.02692
0.5,0.0836,0.02773
1.0,0.1206,0.02875
1.5,0.1562,0.02999
2.0,0.1901,0.03148
2.5,0.2222,0.03327
3.0,0.2528,0.03538
3.5,0.2817,0.03786
4.0,0.3083,0.04071
4.5,0.3334,0.044
5.0,0.3564,0.0477
5.5,0.3776,0.05189
6.0,0.3984,0.05653
6.5,0.5297,0.06769
7.0,0.594,0.07511
7.5,0.6272,0.08225
8.0,0.6966,0.09063
8.5,0.6715,0.09706
9.0,0.6481,0.10416
9.5,0.5651,0.10481
10.0,0.614,0.11736
10.5,0.634,0.12418
11.0,0.7,0.14373
11.5,0.7245,0.15385
12.0,0.727,0.15619
12.5,0.7787,0.1775
13.0,0.7546,0.17014
13.5,0.7982,0.18674
14.0,0.7934,0.18941
14.5,0.86,0.2238
15.0,0.8217,0.20584
