AoA,CL,CD
-5.0,-0.424,0.0829
-4.5,-0.4463,0.07597
-4.0,-0.4515,0.06811
-3.5,-0.4287,0.06079
-3.0,-0.3924,0.05428
-2.5,-0.3548,0.04944
-2.0,-0.3139,0.04563
-1.5,-0.2699,0.04227
-1.0,-0.2303,0.03876
-0.5,-0.1039,0.03475
0.0,-0.071,0.03579
0.5,-0.0395,0.03703
1.0,-0.009,0.03848
1.5,0.0206,0.04015
2.0,0.0491,0.04206
2.5,0.0763,0.04425
3.0,0.1022,0.04673
3.5,0.1269,0.0495
4.0,0.1508,0.05253
4.5,0.1743,0.0558
5.0,0.1977,0.05925
5.5,0.2212,0.06287
6.0,0.2446,0.06666
6.5,0.268,0.07062
7.0,0.2911,0.07477
7.5,0.3139,0.0791
8.0,0.3361,0.08367
8.5,0.3577,0.08849
9.0,0.3786,0.09356
9.5,0.3987,0.0989
10.0,0.444,0.10825
10.5,0.489,0.11796
11.0,0.524,0.12596
11.5,0.57,0.13709
12.0,0.5882,0.14276
12.5,0.627,0.15355
13.0,0.6352,0.15727
13.5,0.658,0.16474
14.0,0.6846,0.17376
14.5,0.697,0.17797
15.0,0.7168,0.18479
