AoA,CL,CD
-5.0,-0.3959,0.08457
-4.5,-0.429,0.07918
-4.0,-0.4366,0.07271
-3.5,-0.4324,0.06629
-3.0,-0.412,0.06047
-2.5,-0.3793,0.05461
-2.0,-0.3431,0.0499
-1.5,-0.3052,0.04562
-1.0,-0.276,0.04112
-0.5,-0.0949,0.03819
0.0,-0.0626,0.03916
0.5,-0.0314,0.04033
1.0,-0.0011,0.0417
1.5,0.0285,0.04329
2.0,0.0571,0.04512
2.5,0.0845,0.0472
3.0,0.1107,0.04956
3.5,0.1359,0.05219
4.0,0.16,0.05511
4.5,0.1835,0.05827
5.0,0.2067,0.06165
5.5,0.2297,0.06522
6.0,0.2526,0.06898
6.5,0.2754,0.07291
7.0,0.2979,0.07703
7.5,0.3202,0.08134
8.0,0.3419,0.08586
8.5,0.3631,0.09061
9.0,0.3838,0.0956
9.5,0.4036,0.10085
10.0,0.4227,0.10636
10.5,0.4412,0.11213
11.0,0.459,0.11816
11.5,0.4764,0.12441
12.0,0.4959,0.1311
12.5,0.5498,0.1443
13.0,0.5818,0.1532
13.5,0.6235,0.16537
14.0,0.6394,0.16965
14.5,0.6688,0.17934
15.0,0.6868,0.18466
