AoA,CL,CD
-5.0,-0.3615,0.07218
-4.5,-0.3631,0.06666
-4.0,-0.3719,0.06148
-3.5,-0.3397,0.05436
-3.0,-0.1341,0.03836
-2.5,-0.1433,0.03583
-2.0,-0.1037,0.03555
-1.5,-0.0658,0.03557
-1.0,-0.0283,0.03575
-0.5,0.0086,0.03608
0.0,0.0451,0.03656
0.5,0.0811,0.03718
1.0,0.1164,0.03796
1.5,0.1509,0.0389
2.0,0.1846,0.04003
2.5,0.2173,0.04135
3.0,0.2487,0.04289
3.5,0.2786,0.0447
4.0,0.307,0.04679
4.5,0.3335,0.04921
5.0,0.3581,0.05202
5.5,0.3806,0.05525
6.0,0.4011,0.0589
6.5,0.4194,0.06304
7.0,0.436,0.06766
7.5,0.4508,0.07283
8.0,0.4641,0.07849
8.5,0.4764,0.08464
9.0,0.4878,0.09122
9.5,0.499,0.0981
10.0,0.5106,0.10516
10.5,0.5228,0.11237
11.0,0.5358,0.11966
11.5,0.5494,0.12701
12.0,0.5637,0.13442
12.5,0.5785,0.14187
13.0,0.5938,0.14942
13.5,0.6095,0.15698
14.0,0.6255,0.16466
14.5,0.6418,0.17238
15.0,0.6864,0.18856
