AoA,CL,CD
-5.0,-0.2556,0.10351
-4.5,-0.2233,0.09669
-4.0,-0.2126,0.09036
-3.5,-0.1746,0.08502
-3.0,-0.0845,0.0761
-2.5,-0.0313,0.06662
-2.0,0.1826,0.04663
-1.5,0.3016,0.04328
-1.0,0.3342,0.04252
-0.5,0.4066,0.04185
0.0,0.4808,0.04116
0.5,0.4735,0.04214
1.0,0.5659,0.04276
1.5,0.5841,0.04565
2.0,0.6555,0.04601
2.5,0.7543,0.04546
3.5,0.8228,0.04937
5.0,0.9773,0.05231
6.0,1.0303,0.0575
6.5,1.1259,0.05423
7.5,1.1643,0.06052
8.0,1.278,0.05451
9.0,1.2989,0.06178
10.0,1.2929,0.0741
10.5,1.5247,0.05402
11.5,1.5433,0.05998
12.5,1.3982,0.08896
13.5,1.3424,0.11103
14.0,1.1873,0.1484
14.5,1.2657,0.14116
15.0,1.1847,0.16629
