AoA,CL,CD
-5.0,-0.0529,0.12912
-4.5,-0.0557,0.12709
-4.0,-0.0581,0.12496
-3.5,-0.0607,0.12271
-3.0,-0.0631,0.12048
-2.5,-0.0656,0.11817
-2.0,-0.0683,0.11592
-1.5,-0.0773,0.11351
-1.0,-0.1367,0.11172
-0.5,-0.1905,0.10951
0.0,-0.2461,0.10708
0.5,-0.3137,0.10446
1.0,-0.3568,0.10112
1.5,-0.3406,0.09886
2.0,-0.2668,0.09579
2.5,-0.1657,0.09464
3.0,-0.0127,0.09705
3.5,0.0913,0.09855
4.0,0.1834,0.10094
5.0,0.3688,0.10917
5.5,0.4594,0.11721
6.0,0.5175,0.12343
6.5,0.5599,0.12884
7.0,0.5933,0.13387
7.5,0.6229,0.13884
8.0,0.6514,0.14398
8.5,0.6775,0.14909
9.0,0.7026,0.1543
9.5,0.7272,0.1597
10.0,0.7502,0.1651
10.5,0.7729,0.17069
11.0,0.7954,0.1765
11.5,0.8167,0.18234
12.0,0.8376,0.18838
12.5,0.8576,0.1945
13.0,0.8776,0.20088
13.5,0.8968,0.20737
14.0,0.9158,0.21402
14.5,0.934,0.22073
15.0,0.956,0.22718
