AoA,CL,CD
-4.5,-0.083,0.08923
-4.0,-0.1556,0.09356
-3.5,-0.3873,0.10333
-3.0,-0.3909,0.0931
-2.5,-0.3438,0.08122
-2.0,-0.2579,0.07041
-1.5,-0.1725,0.06337
-1.0,-0.1088,0.06029
-0.5,-0.0657,0.05885
0.0,-0.0741,0.05663
0.5,-0.1077,0.05065
1.0,-0.0156,0.04982
1.5,0.0757,0.05366
2.0,0.1521,0.05778
2.5,0.2181,0.06209
3.0,0.2754,0.06655
3.5,0.3256,0.07114
4.0,0.3703,0.07586
4.5,0.4105,0.08074
5.0,0.4473,0.08581
5.5,0.4814,0.09105
6.0,0.5133,0.0965
6.5,0.5435,0.10217
7.0,0.5723,0.10807
7.5,0.5998,0.11416
8.0,0.6262,0.12044
8.5,0.6516,0.12692
9.0,0.6942,0.13424
9.5,0.7401,0.14334
10.0,0.7838,0.15311
10.5,0.8045,0.15738
11.0,0.8296,0.16383
11.5,0.8727,0.17906
12.0,0.9241,0.19599
12.5,0.9069,0.18692
13.0,0.9762,0.22143
13.5,0.9495,0.20293
14.0,1.0326,0.24925
14.5,1.0029,0.23033
15.0,1.0074,0.22845
