AoA,CL,CD
-5.0,-0.0492,0.06088
-4.5,-0.0583,0.05871
-4.0,-0.0698,0.057
-3.5,-0.0841,0.05557
-3.0,-0.0994,0.05441
-2.5,-0.1144,0.05348
-2.0,-0.1271,0.05275
-1.5,-0.1366,0.05221
-1.0,-0.1399,0.05201
-0.5,-0.1367,0.05214
0.0,-0.1284,0.05259
0.5,-0.1162,0.05333
1.0,-0.1016,0.0543
1.5,-0.0847,0.0555
2.0,-0.0661,0.05691
2.5,-0.0465,0.05857
3.0,-0.0257,0.0604
3.5,-0.0045,0.06243
4.0,0.0168,0.06466
4.5,0.0392,0.06707
5.0,0.0613,0.06968
5.5,0.0834,0.07248
6.0,0.1058,0.07546
6.5,0.1276,0.07867
7.0,0.1498,0.08202
7.5,0.1714,0.08554
8.0,0.1925,0.08925
8.5,0.2139,0.0931
9.0,0.2352,0.09703
9.5,0.2557,0.10118
10.0,0.2763,0.10545
10.5,0.2965,0.10989
11.0,0.3163,0.11444
11.5,0.3363,0.11909
12.0,0.3559,0.12387
12.5,0.3754,0.12875
13.0,0.3942,0.13384
13.5,0.4129,0.13901
14.0,0.4309,0.14446
14.5,0.448,0.15024
15.0,0.4645,0.15634
