AoA,CL,CD
-5.0,-0.1199,0.05569
-4.5,-0.0349,0.04861
-4.0,-0.015,0.04561
-3.5,0.0045,0.04296
-3.0,0.0226,0.04065
-2.5,0.0382,0.03867
-2.0,0.0498,0.03712
-1.5,0.0542,0.03602
-1.0,0.0475,0.03536
-0.5,0.0272,0.03508
0.0,-0.0001,0.03506
0.5,-0.0275,0.03509
1.0,-0.0475,0.03534
1.5,-0.0539,0.03598
2.0,-0.0501,0.03711
2.5,-0.0379,0.03865
3.0,-0.0221,0.04061
3.5,-0.0038,0.0429
4.0,0.0152,0.0456
4.5,0.0355,0.04856
5.0,0.1204,0.05564
5.5,0.1946,0.06249
6.0,0.2367,0.0682
6.5,0.2505,0.07309
8.0,0.1739,0.07836
8.5,0.1932,0.08369
9.0,0.2123,0.08932
9.5,0.287,0.10247
10.0,0.3368,0.11265
10.5,0.3788,0.12257
11.0,0.4036,0.1296
11.5,0.4417,0.14026
12.0,0.4654,0.14741
12.5,0.4813,0.15415
13.0,0.5083,0.16273
13.5,0.5378,0.17405
14.0,0.5401,0.17656
14.5,0.5536,0.1824
15.0,0.5737,0.19091
