AoA,CL,CD
-5.0,-0.346,0.12197
-4.5,-0.3466,0.11185
-4.0,-0.3455,0.09876
-3.5,-0.3427,0.09287
-3.0,-0.3372,0.08826
-2.5,-0.3338,0.08174
-1.5,-0.1111,0.0526
-1.0,-0.1513,0.05174
-0.5,-0.2049,0.05059
0.0,-0.2574,0.04909
0.5,0.3758,0.04505
1.0,0.4463,0.0442
1.5,0.5112,0.04409
2.0,0.569,0.04343
2.5,0.6057,0.04615
3.0,0.6397,0.04917
3.5,0.6713,0.05252
4.0,0.7005,0.05624
4.5,0.7274,0.06038
5.0,0.752,0.06497
5.5,0.7741,0.07006
6.0,0.794,0.07564
6.5,0.9315,0.08111
7.0,1.0028,0.08474
8.0,1.2179,0.07919
8.5,1.27,0.05748
9.0,1.2854,0.06371
9.5,1.3597,0.0702
10.0,1.4174,0.0803
10.5,1.4048,0.09009
11.0,1.3731,0.1003
11.5,1.334,0.11177
12.0,1.2936,0.12518
12.5,1.2593,0.14109
13.0,1.2396,0.15713
13.5,1.2318,0.17308
14.0,1.2028,0.19614
14.5,1.1978,0.21176
15.0,1.2089,0.22647
