AoA,CL,CD
-5.0,-0.419,0.17208
-4.5,-0.4026,0.15483
-4.0,-0.399,0.14912
-3.5,-0.4011,0.1453
-3.0,-0.4015,0.14319
-2.5,-0.3579,0.15219
-2.0,-0.3793,0.13511
-1.5,-0.3764,0.12781
-0.5,-0.3157,0.12013
0.0,-0.3069,0.11397
0.5,-0.2615,0.11045
1.0,-0.2345,0.10659
1.5,-0.2328,0.10081
2.0,-0.2328,0.0963
2.5,-0.204,0.09401
3.0,-0.1687,0.08914
3.5,0.2857,0.10666
4.0,0.3829,0.10924
5.0,0.5282,0.11904
5.5,0.571,0.12275
6.0,0.6293,0.12847
6.5,0.6591,0.13136
7.0,0.7313,0.14137
7.5,0.7326,0.13984
8.0,0.7941,0.15156
8.5,0.7911,0.15006
9.0,0.8547,0.16322
9.5,0.8459,0.16084
10.0,0.8834,0.16795
10.5,0.9203,0.18068
11.0,0.9239,0.17668
11.5,0.9967,0.20148
12.0,0.9608,0.18727
12.5,0.9987,0.19611
13.0,1.0297,0.21184
13.5,1.0201,0.2029
14.0,1.0635,0.21704
14.5,1.0719,0.22426
15.0,1.0758,0.22191
