AoA,CL,CD
-5.0,-0.6735,0.04329
-4.5,-0.6421,0.0394
-4.0,-0.6165,0.03634
-3.5,-0.6039,0.0357
-2.5,-0.1053,0.04235
-2.0,-0.1304,0.04122
-1.5,-0.1562,0.04007
-1.0,-0.1779,0.03918
-0.5,-0.1857,0.03893
0.0,-0.1798,0.03942
0.5,-0.166,0.04041
1.0,-0.1487,0.04174
1.5,-0.1281,0.04327
2.0,-0.1062,0.04502
2.5,-0.0839,0.04705
3.0,-0.0603,0.04923
3.5,-0.0364,0.05162
4.0,-0.0125,0.05424
4.5,0.0123,0.05705
5.0,0.0368,0.06008
5.5,0.0609,0.06332
6.0,0.0854,0.0667
6.5,0.1385,0.07278
7.0,0.1985,0.07983
7.5,0.2315,0.084
8.0,0.271,0.08922
8.5,0.3168,0.09569
9.0,0.3405,0.0998
9.5,0.3678,0.10483
10.0,0.3991,0.11077
10.5,0.4558,0.12202
11.0,0.4469,0.12086
11.5,0.4805,0.12905
12.0,0.5178,0.13655
12.5,0.5112,0.13728
13.0,0.5545,0.14888
13.5,0.5803,0.15524
14.0,0.5926,0.16094
14.5,0.6099,0.16715
15.0,0.6216,0.17212
