AoA,CL,CD
-5.0,-0.3456,0.08481
-4.5,-0.3546,0.07783
-4.0,-0.3448,0.06993
-3.5,-0.3024,0.06056
-3.0,-0.2501,0.05217
-2.5,-0.1806,0.04497
-2.0,-0.1288,0.04016
-1.5,-0.0801,0.03525
0.0,0.0711,0.03196
0.5,0.11,0.03344
1.0,0.147,0.0352
1.5,0.1815,0.03726
2.0,0.2141,0.03964
2.5,0.2451,0.04234
3.0,0.2745,0.04535
3.5,0.3025,0.04866
4.0,0.3291,0.05226
4.5,0.3547,0.05616
5.0,0.3791,0.06035
5.5,0.4025,0.06482
6.0,0.4252,0.06962
6.5,0.4473,0.07474
7.0,0.469,0.08017
7.5,0.49,0.08588
8.0,0.5106,0.09178
8.5,0.5308,0.09784
9.0,0.5507,0.10406
9.5,0.6052,0.11372
10.0,0.6511,0.12444
10.5,0.6781,0.13157
11.0,0.7148,0.13958
11.5,0.734,0.14588
12.0,0.7573,0.15414
12.5,0.7836,0.16153
13.0,0.817,0.17575
13.5,0.8667,0.19719
14.0,0.8687,0.19492
14.5,0.8617,0.19562
15.0,0.9177,0.22293
