AoA,CL,CD
-5.0,-0.0454,0.05413
-4.5,-0.0476,0.05049
-4.0,-0.0523,0.04752
-3.5,-0.0594,0.04508
-3.0,-0.0695,0.0431
-2.5,-0.0831,0.04135
-2.0,-0.0987,0.03972
-1.5,-0.0966,0.03832
-1.0,-0.0532,0.03777
-0.5,0.004,0.03802
0.0,0.0599,0.03873
0.5,0.1118,0.03975
1.0,0.1598,0.04104
1.5,0.2046,0.04258
2.0,0.2466,0.04439
2.5,0.286,0.04648
3.0,0.3231,0.04886
3.5,0.3579,0.05157
4.0,0.3905,0.05463
4.5,0.4209,0.05805
5.0,0.4492,0.06185
5.5,0.4754,0.06606
6.0,0.4997,0.07072
6.5,0.5222,0.07583
7.0,0.5428,0.08141
7.5,0.5617,0.08745
8.0,0.5793,0.09395
8.5,0.5956,0.10086
9.0,0.6111,0.10809
9.5,0.6263,0.11562
10.0,0.6417,0.12331
10.5,0.6573,0.1311
11.0,0.6736,0.13897
11.5,0.6903,0.14689
12.0,0.7075,0.15487
12.5,0.7249,0.16292
13.0,0.7426,0.17109
13.5,0.7603,0.17936
14.0,0.7782,0.18779
14.5,0.796,0.19627
15.0,0.8362,0.21095
