AoA,CL,CD
-5.0,-0.3864,0.0743
-4.5,-0.3814,0.06923
-4.0,-0.3814,0.06392
-3.5,-0.2591,0.03912
-3.0,-0.2065,0.0327
-2.5,-0.1512,0.02838
-2.0,-0.101,0.02569
-1.5,-0.048,0.02318
-1.0,-0.0158,0.01943
-0.5,0.0258,0.02036
0.0,0.0648,0.02154
0.5,0.1064,0.02305
1.0,0.2097,0.02555
1.5,0.3142,0.02771
2.0,0.3926,0.02923
2.5,0.4689,0.03034
3.0,0.545,0.0312
3.5,0.6273,0.03131
4.0,0.7095,0.03065
4.5,0.79,0.02947
5.0,0.8548,0.02885
5.5,0.9094,0.0291
6.0,0.9584,0.02972
6.5,1.0055,0.031
7.0,1.0502,0.03239
7.5,1.0922,0.03452
8.0,1.1308,0.03721
8.5,1.1663,0.03991
9.0,1.1934,0.04469
9.5,1.2185,0.04851
10.0,1.2381,0.05492
10.5,1.2089,0.06327
11.0,1.1744,0.07079
11.5,1.1321,0.08033
12.0,1.089,0.09349
12.5,0.9153,0.14155
13.0,0.9034,0.17204
13.5,0.869,0.16925
14.0,0.9238,0.19122
14.5,0.8874,0.1851
15.0,0.9391,0.21005
