AoA,CL,CD
-5.0,-0.4041,0.05647
-4.5,-0.3729,0.04701
-4.0,-0.3289,0.03923
-3.5,-0.2829,0.03377
-3.0,-0.2271,0.02848
-2.5,-0.2121,0.02312
-2.0,-0.1144,0.02125
-1.5,-0.075,0.02141
-1.0,-0.0347,0.02177
-0.5,0.0051,0.02229
0.0,0.0443,0.02299
0.5,0.0824,0.0239
1.0,0.1192,0.02502
1.5,0.1545,0.02639
2.0,0.1879,0.02803
2.5,0.2195,0.02999
3.0,0.2496,0.03229
3.5,0.2778,0.03497
4.0,0.387,0.0402
4.5,0.4779,0.04453
5.0,0.5694,0.04848
5.5,0.6382,0.05132
6.0,0.7078,0.05391
6.5,0.7636,0.05644
7.0,0.8491,0.05647
7.5,0.8869,0.05935
8.0,0.9524,0.05983
9.0,0.9659,0.0744
9.5,0.9174,0.08869
10.0,0.8871,0.10389
10.5,0.8629,0.11702
11.0,0.8422,0.12831
11.5,0.8088,0.15903
12.0,0.7652,0.15269
12.5,0.7865,0.16338
13.0,0.8092,0.17306
13.5,0.826,0.18727
14.0,0.8523,0.19998
14.5,0.8289,0.19345
15.0,0.903,0.23206
