AoA,CL,CD
-5.0,-0.4046,0.11791
-4.5,-0.415,0.11684
-4.0,-0.4095,0.1108
-3.5,-0.4075,0.10398
-2.5,-0.3736,0.09351
-1.5,-0.3042,0.08432
-1.0,-0.2813,0.07958
-0.5,-0.2633,0.07524
0.0,-0.2423,0.07171
1.0,-0.0182,0.06673
1.5,0.1364,0.06041
2.0,0.21,0.06089
2.5,0.2719,0.06257
3.0,0.3434,0.06582
4.5,0.4959,0.07352
5.0,0.5312,0.07726
5.5,0.5717,0.08162
6.0,0.6783,0.08099
6.5,0.7289,0.08347
7.0,0.759,0.08723
7.5,0.799,0.09029
8.0,0.8401,0.09374
8.5,0.8916,0.0963
9.0,0.9573,0.09731
9.5,0.9319,0.10558
10.0,0.952,0.11022
10.5,0.9689,0.11636
11.0,1.014,0.11906
11.5,1.0657,0.12031
12.0,1.0047,0.13641
12.5,1.0388,0.14031
13.0,1.0206,0.15109
13.5,1.0079,0.16431
14.0,1.0403,0.17047
14.5,1.0744,0.17387
15.0,1.0137,0.19412
